date,country_name,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,relative_humidity,rainfall_mm,snowfall_mm
2020-01-02,Ireland,0,0,0,0,,,,,4904240,9.0625,5.069444,11.048611,88.861965,2.57175,
2020-01-02,Faroe Islands,0,0,0,0,,,,,48865,6.296296,1.407407,9.592593,81.222848,46.99,
2020-01-02,Belarus,0,0,0,0,,,,,9449321,1.111111,-0.183333,1.922222,91.671252,0.072571,16.933333
2020-01-02,Sweden,0,0,0,0,,,,,10230185,4.077778,0.866667,5.788889,77.088033,0,
2020-01-02,San Marino,0,0,0,0,,,,,33938,3.814815,-0.41358,9.549383,77.021453,0,
2020-01-02,Greece,0,0,0,0,,,,,10724599,5.916667,2.660494,8.088889,60.526846,0.73025,
2020-01-02,Switzerland,0,0,0,0,,,,,8544527,-1.123457,-2.987654,1.623457,75.327485,0,
2020-01-02,Ukraine,0,0,0,0,,,,,43733759,-0.569444,-2.277778,0.5,83.247856,0,
2020-01-02,Gibraltar,0,0,0,0,,,,,33691,12.641975,9.271605,17.024691,81.059859,0,
2020-01-02,Andorra,0,0,0,0,,,,,77265,3.875,-0.722222,10.055556,70.841314,6.688667,
2020-01-02,Portugal,0,0,0,0,,,,,10276617,9.324074,5.685185,12.287037,93.078228,0,
2020-01-02,Czech Republic,0,0,0,0,,,,,10649800,-1.594444,-6.416667,4.383333,74.352802,0,
2020-01-02,France,0,0,0,0,,,,,67012883,7.544444,4.927778,9.372222,93.763309,2.427111,
2020-01-02,Iceland,0,0,0,0,,,,,356991,-7.407407,-12.685185,-2.703704,84.302607,0,398.78
2020-01-02,Croatia,0,0,0,0,,,,,4076246,1.094444,-3.95,8.711111,65.606045,0,40.64
2020-01-02,Finland,1,0,1,0,,,,,5517919,3.211111,0.338889,4.388889,85.090429,0.762,94.342857
2020-01-02,Luxembourg,0,0,0,0,,,,,613894,0.361111,-2.988889,4.272222,96.837634,0.290286,10.16
2020-01-02,Monaco,0,0,0,0,,,,,39244,7.539683,4.5,11.587302,72.162034,0.036286,
2020-01-02,Lithuania,0,0,0,0,,,,,2794184,3.319444,0.902778,5.166667,84.968254,0.127,
2020-01-02,Estonia,0,0,0,0,,,,,1324820,4.205556,1.905556,5.366667,88.082711,0,
2020-01-02,Slovakia,0,0,0,0,,,,,5450421,-1.969136,-7.141975,3.598765,43.762451,2.229556,458.7875
2020-01-02,Latvia,0,0,0,0,,,,,1919968,3.854167,1.8125,4.951389,87.3161,0,
2020-01-02,Georgia,0,0,0,0,,,,,3989175,,,,,,
2020-01-02,Albania,0,0,0,0,,,,,2862427,3.411111,-2,9.977778,46.384628,0,
2020-01-02,Vatican City,0,0,0,0,,,,,809,9.074074,3.055556,14.783951,63.661836,0,
2020-01-02,Hungary,0,0,0,0,,,,,9772756,-0.925926,-4.938272,5.444444,87.239692,0,
2020-01-02,Italy,0,0,0,0,,,,,60359546,8.388889,2.611111,13.798611,58.519906,0,
2020-01-02,Spain,0,0,0,0,,,,,46937060,4.685185,-0.697531,12.092593,76.94588,0,
